text,labels
Downward Obstacle Sensing is not functioning. Ambient Light is too weak,low
"High-altitude flight, aircraft braking distance is extended, flight time is shortened. Fly with caution",low
Aircraft Core Board Overheated,high
Data Recorder File Index is 30.,normal
File system error. Change SD card,high
Your palm is too far away from the aircraft. Please step closer.,low
SD card malfunction. Change card,medium
Flight distance may exceed line-of-sight. Fly with caution,normal
Downlink Restored (after 0m 1.5s).,normal
Auxiliary Bottom Light turned on,normal
Cannot takeoff. Ensure the aircraft battery is properly connected,medium
"Unknown Error, Cannot Takeoff. Contact DJI support",low
Compass Error. Compass disconnected,low
Aircraft battery level low. Return to home promptly,medium
Take off and retry this function.,normal
Right Dial Locked. Lightly press to adjust.,low
Gimbal motor overloaded. Check whether gimbal can rotate freely,low
Home Point Recorded.,normal
Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety,low
Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,low
Battery Voltage Difference too large. Check Battery Status,medium
"Compass error, calibration required",low
Taking Off.,normal
Warning: Command Failed,medium
Aircraft close to Home Point. go home shifts to landing.,normal
Warning: Critically low battery. Please change the battery,medium
Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,medium
Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff,normal
"Not Allowed to change Aircraft Mode. If needed, enable it in Main Controller Settings",low
Extra payload detected. Flight performance will be affected. Fly with caution,low
Aircraft too Far. Cannot enter Follow Me Mode,low
Magnetic Filed Interference. Exit P-GPS Mode,low
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,medium
Manned aircraft too close. Fly at a safe altitude,medium
Landing Gear Raised.,normal
Mobile device CPU fully loaded. Related performance will be affected.,medium
Warning: Motor Obstructed,medium
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. Downlink Lost.,medium
Maximum Flight Altitude Reached.,low
Calibration target not far away enough. Please calibrate using infinity,low
RTH : Cruise.,normal
Cannot track subject: Gimbal Tilt too Large,low
High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution,low
"Home Point Recorded, Return-to-Home Altitude : 98FT.",normal
Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally,medium
ActiveTrack Flight Ended: Aircraft is entering a restricted area,high
At least two Waypoints are needed,normal
AirSense communication error. Unable to display nearby manned aircraft and anti-collision warnings. Fly with caution,medium
Cancel Landing Failed,low
Battery: Connection Error,medium
Data Recorder File Index is 19.,normal
Aircraft in high interference environment. Fly with caution,low
Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary,normal
Capture Failed The aircraft is moving. Cannot shoot panorama,low
Downlink Restored (after 0m 2.9s).,normal
Payload mode enabled. Return the aircraft to an area nearby the home point promptly to ensure flight safety,normal
Payload mode enabled. Max altitude and distance set. Fly with caution,normal
Weak signal. Adjust antenna and avoid signal block.,medium
Aircraft processor overheated. Automatically returning to home,high
Aircraft in high interference environment. Manually adjust flight route or return to home,low
Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution,low
Compass Interference. Temp Max Altitude : 98ft,low
Cannot start Return to Home due to weak GPS signal,medium
Aircraft flight control unlocked,normal
Maximum flight distance reached. Adjust the distance in MC Settings if required.,low
Battery: Low Voltage Protection,medium
Aircraft propulsion system error. Forced landing. Manually control the aircraft and land in an open area,high
Downlink Restored (after 0m 5.8s).,normal
Attitude is too large. Forward obstacle sensing is unavailable,low
Auto landing initiated,normal
Capture Failed Shooting interrupted,low
Aircraft pitch angle too large. Ensure aircraft is level before taking off,low
Critical low battery. Aircraft returning to home,medium
Switched to gimbal free mode. Use the RC to control aircraft yaw,normal
Switched to P (Positioning)-mode.,normal
Exited Cruise Control mode,normal
Compass Error. Compass error Solution: Move away from ground magnetic interference,low
Distance limit enabled. Fly safely,normal
Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying,low
Downward vision sensor calibration error. Auto calibration in progress,high
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. High wind velocity. Fly with caution and land in a safe place ASAP.,medium
"Camera Error. Solution: Restart the aircraft, if the problem persists, contact DJI Support",low
Failed to cancel landing,low
Upward Obstacle Detected,low
Compass Error. Compass Error. Compass disconnected,low
Failed to lower or pack up landing gear. Take care of your gimbal when landing,medium
Flight height too low,low
Compass Error,low
Manned aircraft detected nearby. Fly with caution,medium
Exiting GPS mode: Unknown Error,high
Aircraft is close to Home Point. Return-to-Home Mode is now Auto Landing Mode.,normal
Compass Error. Compass Error. Compass data error. Please contact DJI Support,low
Aircraft in Restricted Zones. Check map to find Recommended Zones,high
Your aircraft has entered a Warning Zone (Class D). Please fly with caution.,low
Downlink Restored (after 0m 5.6s).,normal
Compass Error. Compass data error. Please contact DJI Support,low
Aircraft settings updated to comply with national regulations,normal
"Low power, please replace the battery",medium
"Braking now. Return sticks to midpoints, then continue flying.",low
Strong wind warning. Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,medium
Disable SD card read and write protection or change card,normal
Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit,low
The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting,normal
"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",normal
Downlink data connection lost for nnn seconds,low
Gimbal Yaw Limit Reached,low
Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available,medium
"Battery communication malfunction. Reinstall battery. If the issue persists, replace battery",medium
Subject too Small. Get Closer and retry,low
Cannot exit ActiveTrack,low
Data Recorder File Index is 57.,normal
Ambient Light is too weak.,low
Downlink Restored (after 0m 1.1s).,normal
GPS signal weak. Positioning accuracy affected. Fly with caution,low
Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,normal
Remote controller assisted takeoff initiated.,normal
Not Allowed to change Aircraft Mode. If needed,low
Aircraft antenna satellite signal searching error. Fly with caution,medium
Running Flight Simulator. Restart aircraft to take off,normal
GPS module error. Restart aircraft,low
Downward vision sensor error. Contact DJI Support for assistance,high
Return-to-Home Altitude : 65FT,normal
Setting new Maximum Flight Altitude to nnn,normal
Insufficient SD card space. Change card or delete files,low
Downlink Restored (after 0m 1.4s).,normal
The aircraft is flying back to the start point,normal
PalmControl in Process,normal
Color display in Liveview is enhanced. Videos and photos will still be shot in D-Log mode,normal
Landing Gear Raising.,normal
Motors Started.,normal
Compass Error. Compass data error. Please check the Compass installation and interference,low
Data Recorder File Index is 18.,normal
Incompatible firmware version. Go to Profile > Settings to update firmware,high
Cannot send ActiveTrack command,medium
Aircraft GPS signal too weak. Home Point not updated,medium
Compass initialization failed. Restart aircraft,low
Flight altitude exceeds nnn. May violate local policies and regulations. Ensure you have obtained proper airspace authorization,low
Cancel Return-to-Home Failed,low
Compass direction is not the same with IMU,medium
Command Timeout,medium
Yaw Error.,low
Propeller guard or extra payload detected. Flight performance will be affected. Fly with caution,low
Object too far for laser rangefinder,normal
GEO: You are in a Warning Zone (Airport Class Airspace Unpaved Airports Power Plant). Fly with caution,low
"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available",normal
No GPS signal. Unable to take off. Move to an open area or exit flight tutorial,low
Sensing system is blocked or too close to the obstacle.,low
RTH altitude adjusted to nnn,normal
Downlink Restored (after 0m 1.6s).,normal
ActiveTrack Flight Ended: Control Signal Timeout (RC),medium
Gimbal IMU data error. Contact DJI Support for assistance,low
Detecting subject,normal
Landing Gear Lowered.,normal
Propellers not installed,low
Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution,medium
Current RTH route will pass a No-Fly zone. Pay attention to the aircraft's position to avoid RTH failure.,medium
Large Wind Velocity.,medium
Capture Failed Insufficient storage space. Cannot shoot panorama,low
Aircraft flight control locked,high
Gimbal nnn pan axis endpoint reached,normal
Critical low battery. Recharge promptly,medium
Obstacle Avoidance disabled. Landing gear lowered. Obstacle Avoidance has been disabled.,normal
Downlink Restored (after 0m 1s).,normal
Returning to the Home Point,normal
Attitude is too large. Backward Obstacle Sensing is not functioning.,low
Your aircraft is at the boundary of an Altitude Zone. Please fly away or land with caution,low
Manned aircraft approaching. Fly at a safe altitude,medium
Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in,low
Backward Obstacle Sensing is not functioning.,low
Vision sensor(s) blocked. Fly with caution,low
Min Waypoint Distance: nnn,normal
Executing waypoint mission,normal
"Ambient Light too Weak, Forward obstacle sensing is unavailable. please ensure safety during the flight",low
Downlink Restored (after 0m 2.2s).,normal
Low Power. Returning home.,medium
Flight Mode Set to Attitude,normal
Auto Landing in nnn(s),normal
Camera Settings Adjusted to ActiveTrack,normal
"Home Point Recorded, Return-to-Home Altitude : 98FT",normal
Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying,low
Barometer initialization failed. Restart aircraft,low
Panorama Captured Successfully,normal
"Excessive attitude angle detected, forward obstacle avoidance has stopped working",high
Aircraft processor chip overheated. Power off aircraft and wait for temperature to return to normal,high
Your aircraft is at the boundary of an Authorization Zone. Please fly away with caution,low
Impact detected. Restart aircraft,high
Battery Signal Error. Check battery connection.,medium
