text,labels
Downward Obstacle Sensing is not functioning. Ambient Light is too weak,1
"High-altitude flight, aircraft braking distance is extended, flight time is shortened. Fly with caution",1
Aircraft Core Board Overheated,1
Data Recorder File Index is 30.,0
File system error. Change SD card,1
Your palm is too far away from the aircraft. Please step closer.,1
SD card malfunction. Change card,1
Flight distance may exceed line-of-sight. Fly with caution,0
Downlink Restored (after 0m 1.5s).,0
Auxiliary Bottom Light turned on,0
Cannot takeoff. Ensure the aircraft battery is properly connected,1
"Unknown Error, Cannot Takeoff. Contact DJI support",1
Compass Error. Compass disconnected,1
Aircraft battery level low. Return to home promptly,1
Take off and retry this function.,0
Right Dial Locked. Lightly press to adjust.,1
Gimbal motor overloaded. Check whether gimbal can rotate freely,1
Home Point Recorded.,0
Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety,1
Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,1
Battery Voltage Difference too large. Check Battery Status,1
"Compass error, calibration required",1
Taking Off.,0
Warning: Command Failed,1
Aircraft close to Home Point. go home shifts to landing.,0
Warning: Critically low battery. Please change the battery,1
Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,1
Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff,0
"Not Allowed to change Aircraft Mode. If needed, enable it in Main Controller Settings",1
Extra payload detected. Flight performance will be affected. Fly with caution,1
Aircraft too Far. Cannot enter Follow Me Mode,1
Magnetic Filed Interference. Exit P-GPS Mode,1
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,1
Manned aircraft too close. Fly at a safe altitude,1
Landing Gear Raised.,0
Mobile device CPU fully loaded. Related performance will be affected.,1
Warning: Motor Obstructed,1
High wind velocity. Ensure the aircraft remains within your line of sight and fly with caution. Downlink Lost.,1
Maximum Flight Altitude Reached.,1
Calibration target not far away enough. Please calibrate using infinity,1
RTH : Cruise.,0
Cannot track subject: Gimbal Tilt too Large,1
High altitude. Aircraft braking distance increased and flight time decreased. Fly with caution,1
"Home Point Recorded, Return-to-Home Altitude : 98FT.",0
Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally,1
ActiveTrack Flight Ended: Aircraft is entering a restricted area,1
At least two Waypoints are needed,0
AirSense communication error. Unable to display nearby manned aircraft and anti-collision warnings. Fly with caution,1
Cancel Landing Failed,1
Battery: Connection Error,1
Data Recorder File Index is 19.,0
Aircraft in high interference environment. Fly with caution,1
Aircraft is returning to the Home Point. RTH Altitude is nnn. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary,0
Capture Failed The aircraft is moving. Cannot shoot panorama,1
Downlink Restored (after 0m 2.9s).,0
Payload mode enabled. Return the aircraft to an area nearby the home point promptly to ensure flight safety,0
Payload mode enabled. Max altitude and distance set. Fly with caution,0
Weak signal. Adjust antenna and avoid signal block.,1
Aircraft processor overheated. Automatically returning to home,1
Aircraft in high interference environment. Manually adjust flight route or return to home,1
Downward ambient light too low. Obstacle avoidance unavailable. Fly with caution,1
